Nom du lieu,Catégorie,Statut,Adresse,URL Google Maps,Photos,Informations,Site web,Testé le,Latitude,Longitude
Lodge navette spatiale,Au schlof !,À faire,"1 Rue des Pavements, 14100 Lisieux",https://maps.app.goo.gl/EswG5CPgNhSpZoW19,https://lh3.googleusercontent.com/gps-cs-s/APNQkAECM8_Q2ojhGxe8Y95tePElrS569tyetYCHPCF1MP9brmxGUBRZDVDbEriNVKtL3eyIWp8XSuQXHknsuY0QI-OFYat6rbn81oxoNcququXY7ubjHLyh2-P1o37K-jylkE5aJNQJ9zG1iLF_=w408-h541-k-no,Aibnb / Escape game,https://www.booking.com/hotel/fr/space-bnb-vaisseau-spatial-jeu-type-escape-game.fr.html?chal_t=1782309353705&force_referer=https%3A%2F%2Fwww.google.com%2F,,49.140161,0.231626
Les Saveurs d'Alberto,À boire & à manger,À faire,"12 Rue Adolphe Mille, 75019 Paris",https://maps.app.goo.gl/nMBTrpk322C2r61i8,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF410ggMp-NH0qM6K9Ekok3MRpOxTV6LapE71TnNynU9rkn8AvYirrUUacMb8EP3Vkvgcic5GoLW11aAOYJhbo5cQ60Onym9_O-jIJH-qAZcTaCBzwLaBLypumCAD5nROdh9L-AqQ=w408-h361-k-no,Restaurant africain,,,48.888865,2.388786
Al Kindakah Show,À boire & à manger,À faire,"4 Rue Affre, 75018 Paris",https://maps.app.goo.gl/xQ4JsxuV2f6fAMHn9,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGz5bL4hOdXBlhuKSDtmfMJt6I2lLZ79ftvjVsfuf5gBuns06xHrNtNMH8chYAwAU0up01BUn0V4dzwtcnXkceWGn3sZWCdSR4-QZma4NxS2-J8v1Y4SoH0HPs_k_d-2gdU0hx9euYLZiI5=w408-h544-k-no,Restaurant soudanais,,,48.885238,2.355879
Kossaïdi,À boire & à manger,À faire,"62 Rue du Montparnasse, 75014 Paris",https://maps.app.goo.gl/EMWyZvCY3CfEbrrf6,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHFzct0UEzCXsPULSgrxtRUWoGWzp8QXDGOHmPzUJU8l2UovxRJg8nvQlupsCzEsNVACTw2Dj0fUzk-fqvex9f4Xun1ezfTkFBrtRYVgPU5e9jEUXQ1a02HoPW3mtbyaUt7-_k=w408-h544-k-no,Restaurant réunionnais,https://kossaidi-montparnasse.fr/fr,,48.841694,2.325156
JAMROCK,À boire & à manger,À faire,"16 Rue de Candie, 75011 Paris",https://maps.app.goo.gl/6yv4oz8UAt5HbFnB9,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFNI7b3-hUmn2JuVJN-DziJ-pRnUnI7yJj4U3xiPsq7so7MjTUFZmRjOfYnA8xQ5efSHV6SfxiY15XT2lNuC5cySYYhLGGs5oOulyIC3Hk_EFFc7fIsrlcrEfZEgW4ne9D7DnWzL_YtAaF9=w408-h544-k-no,Restaurant jamaïcain,https://jamrock-paris.com/,,48.851208,2.380194
Tsubame,À boire & à manger,À faire,"40 Rue de Douai, 75009 Paris",https://maps.app.goo.gl/JCeCEkFDiF3pWHHi6,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHsql-uMjsQySfpD4GIwzM746jr9Bd3ZJoRPVu4CUbbYKzBwYFCMeIVuwMjALpnRsVI-DaFuKiS7g6rwj-8LmCYLruwrL4weSWAoCI1RvSgZhGGcb9ICBjLiPqnygghlrs1Zgev5Q=w426-h240-k-no,Restaurant japonais,,,48.882891,2.331984
IKA,À boire & à manger,À faire,"26 Rue de Chabrol, 75010 Paris",https://maps.app.goo.gl/Gzga26Nzrxqct9YX6,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHyxiNFsmXyLM30Fpvvp4MAGI6_Y2wQxOPOnSEOPoGwzmyr4d6ys249SMHNhZvrhQPNY5FhpHdaR6Tp1DkiyUu10-xIGqVRXdY9dKX_hswogEHQvFnaF8jfGTCCTSJBGGhAas8r=w408-h544-k-no,"Restaurant japonais, curry",https://www.instagram.com/ika.restaurant/,,48.876923,2.353163
Mannie,À boire & à manger,À faire,"32 Rue Coquillière, 75001 Paris",https://maps.app.goo.gl/wNcWRceSaZ76RMp68,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEUrjdKlsQrUirwhchKztVSZYUea5uD9RFABit-jWlbhzFtc32nFNG_uUr6MEyYVBPdASBZyjZIL0XwBjgjWJNbe0tjNVbmzRjMN-rcRsbjrLAt-GSdFujq4S4JeUEm__JBzDKKP_p3ASia=w408-h272-k-no,100% végétarien,https://mannies-website.webflow.io/#Menu,,48.864264,2.341601
Le Bar Fleuri,À boire & à manger,À faire,"1 Rue du Plateau, 75019 Paris",https://maps.app.goo.gl/mxD1aFCXbixNCbgM6,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHMZppuWuW0d-MDX6Y9HAgcbRe2jsV4B1ODwPB-dXxo338ikXbhHc6hdc75fjRswOzcLErlQqPw5l_9dyIxG8LQvJapFozLfwNiTOpPd3kYctHECVjWxyHJC1rgp5LX7pD4VtBK_Zq7j9t6=w408-h305-k-no,Bar-bistrot,,,48.877882,2.385451
A Braccetto,À boire & à manger,À faire,"19 Rue Soufflot, 75005 Paris",https://maps.app.goo.gl/ovUYyPsfphgnbgzq6,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH4oLQ-PQ3reP0pQ-H4To1Tcgf-bzNiwaMHFX0juXe-0BjM0XYH2NwL62qoAXwO1CRmr4iCihwIFTKdZ8VBXyD4w5J93OdJ8lCUcVIJhwie41vA6JZE3CqVGmmRqEQLmeIULWA=w425-h240-k-no,Restaurant italien,https://abraccettoparis.com/menu.html,,48.847059,2.341478
